Country,State,Year,Gender,DiseaseType,Cases,Deaths
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,94.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Cholera,46932.072911859716,10.537840332256575
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,3.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,44.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),15637.0,23.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,1.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Measles,8.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,29.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),1360.0,11.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Rabies,46932.072911859716,10.537840332256575
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,3.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,1.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,25.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),14921.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,73.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,32.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,17839.0,24.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,57510.0,10.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,51.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,1.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,1.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,63.0,1.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),3019.0,1.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,71.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Measles,11.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,5.0,1.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),8422.0,71.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,0.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,7.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,1.0,1.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),398.0,11.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,68.0,4.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,0.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,23144.0,23.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,71345.0,11.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,58.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Cholera,1.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,4.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,59.0,11.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),3085.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,43.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Measles,9.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,12.0,2.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),10495.0,94.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Rabies,0.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,28.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,1.0,0.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),655.0,20.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,120.0,13.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,1.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,35775.0,14.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,122571.0,11.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,71.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Cholera,46932.072911859716,10.537840332256575
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,46932.072911859716,10.537840332256575
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,22.0,1.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),14518.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,86.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Measles,46932.072911859716,10.537840332256575
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,8.0,2.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),1276.0,25.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Rabies,0.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,412.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,2.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,7.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),420.0,5.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,15.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,270.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,40396.0,17.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,133356.0,21.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Chicken Pox,112.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Cholera,46932.072911859716,10.537840332256575
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Diphtheria,46932.072911859716,10.537840332256575
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Encephalitis,23.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Enteric Fever(Typhoid),17136.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Gonococcal Infection,65.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Measles,46932.072911859716,10.537840332256575
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Meningococcal Meningitis,3.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Pneumonia(All Causes),1731.0,61.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Rabies,1.0,1.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,65.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,2.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,16.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),581.0,12.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,5.0,0.0
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,259.0,0.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,21040.0,21.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,51807.0,176.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,18.0,0.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Female,Cholera,5.0,0.0
India,Delhi,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,64.0,7.0
